date,Time,price,percentChange,change
10/1/2015,0:00:00,46.59,3.326679973,1.5
11/2/2015,0:00:00,41.65,-10.60313372,-4.94
12/1/2015,0:00:00,37.04,-11.06842737,-4.61
1/1/2016,0:00:00,33.62,-9.233261339,-3.42
2/1/2016,0:00:00,33.75,0.386674598,0.13
3/1/2016,0:00:00,38.34,13.6,4.59
4/1/2016,0:00:00,45.92,19.7704747,7.58
5/2/2016,0:00:00,49.1,6.925087108,3.18
6/1/2016,0:00:00,48.33,-1.568228106,-0.77
7/1/2016,0:00:00,41.6,-13.92509828,-6.73
8/1/2016,0:00:00,44.7,7.451923077,3.1
9/1/2016,0:00:00,48.24,7.919463087,3.54
10/3/2016,0:00:00,46.86,-2.860696517,-1.38
11/1/2016,0:00:00,49.44,5.505761844,2.58
12/1/2016,0:00:00,53.72,8.656957929,4.28
1/2/2017,0:00:00,52.81,-1.693968727,-0.91
2/1/2017,0:00:00,54.01,2.272296913,1.2
3/1/2017,0:00:00,50.6,-6.313645621,-3.41
4/2/2017,0:00:00,49.21,-2.747035573,-1.39
5/1/2017,0:00:00,48.32,-1.808575493,-0.89
6/1/2017,0:00:00,46.04,-4.718543046,-2.28
7/3/2017,0:00:00,50.17,8.970460469,4.13
8/1/2017,0:00:00,47.23,-5.860075742,-2.94
9/1/2017,0:00:00,51.67,9.400804573,4.44
10/1/2017,0:00:00,54.38,5.244822915,2.71
11/1/2017,0:00:00,57.4,5.553512321,3.02
12/1/2017,0:00:00,60.42,5.261324042,3.02
1/1/2018,0:00:00,64.73,7.133399537,4.31
2/1/2018,0:00:00,61.64,-4.773675266,-3.09
3/1/2018,0:00:00,64.94,5.35366645,3.3
4/1/2018,0:00:00,68.57,5.589775177,3.63
5/1/2018,0:00:00,67.04,-2.231296485,-1.53
6/1/2018,0:00:00,74.15,10.60560859,7.11
7/1/2018,0:00:00,68.76,-7.269049225,-5.39
8/1/2018,0:00:00,69.9977,1.800029087,1.2377
9/1/2018,0:00:00,73.5992,5.145169056,3.6015
10/1/2018,0:00:00,65.31,-11.26262242,-8.2892
11/1/2018,0:00:00,50.93,-22.01806768,-14.38
12/1/2018,0:00:00,45.41,-10.83840565,-5.52
1/2/2019,0:00:00,53.79,18.454085,8.38
2/1/2019,0:00:00,57.22,6.376649935,3.43
3/1/2019,0:00:00,60.14,5.1031108,2.92
4/1/2019,0:00:00,63.91,6.268706352,3.77
5/1/2019,0:00:00,53.5,-16.28853075,-10.41
6/2/2019,0:00:00,59.4601,11.14037383,5.9601
7/1/2019,0:00:00,58.58,-1.480152237,-0.8801
8/1/2019,0:00:00,55.1,-5.940594059,-3.48
9/1/2019,0:00:00,54.07,-1.869328494,-1.03
10/1/2019,0:00:00,54.18,0.203439985,0.11
11/1/2019,0:00:00,55.4872,2.412698413,1.3072
12/1/2019,0:00:00,60.7556,9.494802405,5.2684
1/1/2020,0:00:00,51.56,-15.13539493,-9.1956
2/3/2020,0:00:00,44.76,-13.18851823,-6.8
3/2/2020,0:00:00,20.48,-54.24486148,-24.28
4/1/2020,0:00:00,18.84,-8.0078125,-1.64
5/1/2020,0:00:00,35.49,88.37579618,16.65
6/1/2020,0:00:00,39.27,10.65088757,3.78
7/1/2020,0:00:00,40.27,2.546473135,1
8/3/2020,0:00:00,42.61,5.810777254,2.34
9/1/2020,0:00:00,40.22,-5.609011969,-2.39
10/1/2020,0:00:00,35.79,-11.01442069,-4.43
11/2/2020,0:00:00,45.34,26.68343113,9.55
12/1/2020,0:00:00,48.52,7.01367446,3.18
1/4/2021,0:00:00,52.2,7.584501237,3.68
2/1/2021,0:00:00,61.5,17.81609195,9.3
3/1/2021,0:00:00,59.16,-3.804878049,-2.34
4/1/2021,0:00:00,63.58,7.471264368,4.42
5/3/2021,0:00:00,66.93,5.268952501,3.35
6/1/2021,0:00:00,73.47,9.771402958,6.54
7/1/2021,0:00:00,73.95,0.653327889,0.48
8/2/2021,0:00:00,68.5,-7.36984449,-5.45
9/1/2021,0:00:00,75.03,9.532846715,6.53
10/1/2021,0:00:00,81.78,8.996401439,6.75
11/1/2021,0:00:00,65.85,-19.47909024,-15.93
12/1/2021,0:00:00,74.88,13.71298405,9.03
1/3/2022,0:00:00,86.49,15.50480769,11.61
2/1/2022,0:00:00,93.5,8.104983235,7.01
3/1/2022,0:00:00,98.52,5.368983957,5.02
4/1/2022,0:00:00,102.94,4.486398701,4.42
5/2/2022,0:00:00,116.1,12.7841461,13.16
